,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00
20,1,1,2,2,1,2,1,1,3,0,1,6,6,12,8,14,15,11,4
21,1,2,3,1,2,1,3,0,1,2,1,4,7,2,7,11,9,6,0
22,2,2,1,0,1,3,1,2,2,2,6,2,5,6,9,11,10,7,0
23,1,5,1,1,0,2,0,3,2,2,2,5,5,8,5,18,8,21,0
24,2,4,1,1,4,2,0,4,2,3,0,2,3,5,6,9,13,12,0
25,2,2,3,0,3,1,1,0,2,1,1,7,4,4,6,6,19,10,1
26,4,2,1,0,0,4,1,8,4,0,2,2,4,10,8,13,16,10,0
27,1,3,1,6,3,1,1,3,2,2,3,4,7,4,20,16,18,19,0
,,,,,,,,,,,,,,,,,,,
,0.968245837,1.218349293,0.856956825,1.866648065,1.391941091,1,0.866025404,2.446298224,0.829156198,1,1.732050808,1.802775638,1.363589014,3.159806165,4.470388686,3.596873642,3.905124838,5,1.316956719
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.75,2.625,1.625,1.375,1.75,2,1,2.625,2.25,1.5,2,4,5.125,6.375,8.625,12.25,13.5,12,0.625
